column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
share_type,STRING,true,3
share_id,INT64,true,4
redirect_url,STRING,true,5
email_response,INT64,true,6
subject,STRING,true,7
from,STRING,true,8
reply_to,STRING,true,9
message,STRING,true,10
twitter_share,STRING,true,11
email_share,STRING,true,12
facebook_title,STRING,true,13
facebook_link,STRING,true,14
facebook_share,STRING,true,15
direct_link,STRING,true,16
facebook_image_file_name,STRING,true,17
facebook_image_file_size,INT64,true,18
facebook_image_content_type,STRING,true,19
utc_created_at,TIMESTAMP,true,20
utc_updated_at,TIMESTAMP,true,21
email_template_id,INT64,true,22
unpublished_redirect,STRING,true,23
limit_redirect,STRING,true,24
facebook_pixel_id,STRING,true,25
google_conversion_id,STRING,true,26
google_conversion_label,STRING,true,27
arbitrary_html,STRING,true,28
speechifai_campaign_id,STRING,true,29
speechifai_email_html,STRING,true,30
mobile_response,INT64,true,31
mobile_response_body,STRING,true,32
source_schema,STRING,true,33
source_table,STRING,true,34
vendor,STRING,true,35
segment_by_key,STRING,true,36
vendor_unique_share_option_id,STRING,true,37
data_owner_id,INT64,true,38
data_owner_code,STRING,true,39
