column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
mobile_message_id,INT64,true,3
user_id,INT64,true,4
group_id,INT64,true,5
recipient_id,INT64,true,6
utc_created_at,TIMESTAMP,true,7
utc_updated_at,TIMESTAMP,true,8
twilio_message_id,STRING,true,9
action_type,STRING,true,10
links,STRING,true,11
link,STRING,true,12
mobile_message_field_id,INT64,true,13
link_id,INT64,true,14
mobile_message_stat_id,INT64,true,15
num_segments,INT64,true,16
source_schema,STRING,true,17
source_table,STRING,true,18
vendor,STRING,true,19
segment_by_key,STRING,true,20
vendor_unique_sms_message_activity_id,STRING,true,21
data_owner_id,INT64,true,22
data_owner_code,STRING,true,23
