column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
subscriber_id,INT64,true,3
group_id,INT64,true,4
user_id,INT64,true,5
status,INT64,true,6
subscription_id,INT64,true,7
new_user,INT64,true,8
utc_created_at,TIMESTAMP,true,9
utc_updated_at,TIMESTAMP,true,10
sms_opt_in,INT64,true,11
processed,INT64,true,12
source_schema,STRING,true,13
source_table,STRING,true,14
vendor,STRING,true,15
segment_by_key,STRING,true,16
vendor_unique_sms_status_log_id,STRING,true,17
data_owner_id,INT64,true,18
data_owner_code,STRING,true,19
