column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
subscriber_id,INT64,true,3
group_id,INT64,true,4
user_id,INT64,true,5
status,INT64,true,6
source_action_id,INT64,true,7
source_action_type,STRING,true,8
join_date,TIMESTAMP,true,9
utc_created_at,TIMESTAMP,true,10
utc_updated_at,TIMESTAMP,true,11
source_schema,STRING,true,12
source_table,STRING,true,13
vendor,STRING,true,14
segment_by_key,STRING,true,15
vendor_unique_subscription_status_id,STRING,true,16
data_owner_id,INT64,true,17
data_owner_code,STRING,true,18
