column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
user_id,INT64,true,3
group_id,INT64,true,4
status,INT64,true,5
title,STRING,true,6
description,STRING,true,7
permalink,STRING,true,8
photo_file_name,STRING,true,9
photo_content_type,STRING,true,10
photo_file_size,INT64,true,11
first_publish,INT64,true,12
stats,STRING,true,13
uuid,STRING,true,14
originating_system,STRING,true,15
first_permalink,STRING,true,16
salesforce_id,STRING,true,17
display_creator,INT64,true,18
utc_created_at,TIMESTAMP,true,19
utc_updated_at,TIMESTAMP,true,20
email_id,INT64,true,21
action_type,STRING,true,22
action_id,INT64,true,23
hidden,INT64,true,24
source_schema,STRING,true,25
source_table,STRING,true,26
vendor,STRING,true,27
segment_by_key,STRING,true,28
vendor_unique_syndication_id,STRING,true,29
data_owner_id,INT64,true,30
data_owner_code,STRING,true,31
