column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
group_id,INT64,true,3
name,STRING,true,4
parent_group_id,INT64,true,5
utc_created_at,TIMESTAMP,true,6
utc_updated_at,TIMESTAMP,true,7
sent_to_children,INT64,true,8
uuid,STRING,true,9
notes,STRING,true,10
source_schema,STRING,true,11
source_table,STRING,true,12
vendor,STRING,true,13
segment_by_key,STRING,true,14
vendor_unique_tag_id,STRING,true,15
data_owner_id,INT64,true,16
data_owner_code,STRING,true,17
