column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
utc_start_at,TIMESTAMP,true,3
location_name,STRING,true,4
address,STRING,true,5
city,STRING,true,6
state,STRING,true,7
country,STRING,true,8
zip_code,STRING,true,9
contact_info,STRING,true,10
description_text,STRING,true,11
description_info,STRING,true,12
instructions,STRING,true,13
title,STRING,true,14
custom_fields,STRING,true,15
group_id,INT64,true,16
user_id,INT64,true,17
status,INT64,true,18
permalink,STRING,true,19
first_permalink,STRING,true,20
utc_created_at,TIMESTAMP,true,21
utc_updated_at,TIMESTAMP,true,22
first_publish,INT64,true,23
share_url,STRING,true,24
photo_file_name,STRING,true,25
photo_content_type,STRING,true,26
photo_file_size,INT64,true,27
utc_photo_updated_at,TIMESTAMP,true,28
recipient_id,INT64,true,29
recipient_type,STRING,true,30
administrative_title,STRING,true,31
display_creator,INT64,true,32
form_builder_output,STRING,true,33
display_sharing_options,INT64,true,34
show_goal,INT64,true,35
slider_type,STRING,true,36
ticket_goal,INT64,true,37
ticket_count,INT64,true,38
dollars_goal,INT64,true,39
donations_without_email,INT64,true,40
form_builder_output_json,STRING,true,41
tag_list,STRING,true,42
stats,STRING,true,43
hidden,INT64,true,44
no_target_redirect,STRING,true,45
csv_file_name,STRING,true,46
csv_content_type,STRING,true,47
csv_file_size,INT64,true,48
utc_csv_updated_at,TIMESTAMP,true,49
automatic_notifications,INT64,true,50
reminder_message,STRING,true,51
reminder_from,STRING,true,52
reminder_subject,STRING,true,53
reminder_reply_to,STRING,true,54
email_template_id,INT64,true,55
has_end_date,INT64,true,56
end_at,TIMESTAMP,true,57
timezone,STRING,true,58
has_no_location,INT64,true,59
disable_discussions,INT64,true,60
language,STRING,true,61
tickets_limit,INT64,true,62
thank_you_headline,STRING,true,63
thank_you_subhead,STRING,true,64
image_attribution,STRING,true,65
source_schema,STRING,true,66
source_table,STRING,true,67
vendor,STRING,true,68
segment_by_key,STRING,true,69
vendor_unique_ticketed_event_id,STRING,true,70
data_owner_id,INT64,true,71
data_owner_code,STRING,true,72
