column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
step_id,INT64,true,3
ladder_id,INT64,true,4
uuid,STRING,true,5
trigger_type,STRING,true,6
title,STRING,true,7
permalink,STRING,true,8
utc_created_at,TIMESTAMP,true,9
utc_updated_at,TIMESTAMP,true,10
group_id,INT64,true,11
exclude_uploads,INT64,true,12
action_type,STRING,true,13
webhook_id,INT64,true,14
only_text_to_join,INT64,true,15
briteverify_sync_id,INT64,true,16
include_recurring,INT64,true,17
exclude_one_time,INT64,true,18
source_schema,STRING,true,19
source_table,STRING,true,20
vendor,STRING,true,21
segment_by_key,STRING,true,22
vendor_unique_trigger_id,STRING,true,23
data_owner_id,INT64,true,24
data_owner_code,STRING,true,25
