column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
user_id,INT64,true,3
group_id,INT64,true,4
subscriber_id,INT64,true,5
source_action_type,STRING,true,6
source_action_id,INT64,true,7
source_code,STRING,true,8
custom_fields,STRING,true,9
new_user,INT64,true,10
http_referer,STRING,true,11
utc_created_at,TIMESTAMP,true,12
utc_updated_at,TIMESTAMP,true,13
email_id,INT64,true,14
processed,INT64,true,15
reason,STRING,true,16
subject_id,INT64,true,17
source_schema,STRING,true,18
source_table,STRING,true,19
vendor,STRING,true,20
segment_by_key,STRING,true,21
vendor_unique_unsubscription_id,STRING,true,22
data_owner_id,INT64,true,23
data_owner_code,STRING,true,24
