column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
name,STRING,true,3
file_type,INT64,true,4
download_number,INT64,true,5
permalink,STRING,true,6
mime_type,STRING,true,7
user_id,INT64,true,8
parent_id,INT64,true,9
description,STRING,true,10
utc_created_at,TIMESTAMP,true,11
utc_updated_at,TIMESTAMP,true,12
order,INT64,true,13
user_file_file_name,STRING,true,14
user_file_content_type,STRING,true,15
user_file_file_size,INT64,true,16
group_id,INT64,true,17
source_schema,STRING,true,18
source_table,STRING,true,19
vendor,STRING,true,20
segment_by_key,STRING,true,21
vendor_unique_user_file_id,STRING,true,22
data_owner_id,INT64,true,23
data_owner_code,STRING,true,24
